Customer_ID;Date_purchase;m
27;15/11/2014;4567,5
35;04/12/2014;4192,49
43;07/11/2014;5535
58;07/07/2014;362
58;29/09/2014;281
58;23/09/2014;682
58;03/11/2014;963
58;21/07/2014;1165
58;11/09/2014;1124
58;28/08/2014;923
58;11/08/2014;803
58;12/10/2014;160
58;27/10/2014;602
58;20/10/2014;763
58;10/10/2014;481
58;22/10/2014;441
58;04/11/2014;843
58;13/07/2014;1084
58;16/07/2014;803
58;24/09/2014;1043
58;06/11/2014;722
58;06/11/2014;481
66;31/07/2014;489
66;09/08/2014;617
66;05/08/2014;437
66;08/08/2014;540
66;11/08/2014;386
66;01/08/2014;128
66;05/08/2014;283
66;07/08/2014;720
66;03/08/2014;205
66;08/08/2014;643
66;13/08/2014;567
101;09/08/2014;106
101;14/08/2014;201
101;16/08/2014;83
101;22/08/2014;307
101;15/08/2014;153
101;19/08/2014;295
101;15/08/2014;30
101;20/08/2014;355
101;11/08/2014;319
101;21/08/2014;236
101;22/08/2014;284
107;01/07/2014;75
107;15/07/2014;279
107;11/08/2014;64
107;06/08/2014;322
107;16/08/2014;53
108;23/07/2014;339
116;09/11/2014;3094
118;01/08/2014;111
118;09/08/2014;519
118;16/07/2014;851
118;07/07/2014;519
118;28/07/2014;777
118;25/07/2014;481
118;09/08/2014;925
126;14/08/2014;212
127;14/12/2014;2723
135;22/07/2014;298
135;17/07/2014;645
135;25/07/2014;745
135;18/08/2014;695
135;11/11/2014;944
135;25/07/2014;993
135;19/10/2014;1043
135;29/08/2014;546
135;15/11/2014;894
135;19/11/2014;100
136;02/09/2014;264
136;29/07/2014;435
136;14/07/2014;227
136;26/09/2014;32
136;12/07/2014;227
136;22/08/2014;227
136;05/12/2014;416
136;13/12/2014;113
136;08/01/2015;340
139;20/11/2014;3352
140;29/09/2014;3527
140;30/10/2014;3527
140;15/12/2014;3967
147;27/07/2014;107
147;02/08/2014;501
148;19/07/2014;563
148;25/09/2014;412
148;08/09/2014;244
148;24/09/2014;281
148;25/08/2014;450
148;06/10/2014;112
148;26/09/2014;262
148;20/09/2014;300
148;09/10/2014;300
148;21/11/2014;431
148;19/11/2014;56
148;19/07/2014;150
148;06/12/2014;394
148;16/09/2014;338
148;29/10/2014;37
148;18/09/2014;488
148;17/10/2014;300
148;14/12/2014;300
161;08/07/2014;1513
161;27/07/2014;60
161;14/07/2014;60
161;04/07/2014;1513
161;09/08/2014;1453
161;15/09/2014;1696
163;02/08/2014;186
163;09/08/2014;186
169;02/09/2014;637
169;30/12/2014;616
169;18/12/2014;42
169;09/11/2014;616
169;03/12/2014;233
169;02/12/2014;42
169;18/11/2014;233
169;25/12/2014;170
169;20/11/2014;148
169;06/01/2015;212
175;26/07/2014;312
175;25/07/2014;661
175;16/08/2014;817
185;17/07/2014;368
185;21/08/2014;234
185;19/10/2014;33
185;30/07/2014;402
185;25/08/2014;838
185;17/09/2014;1006
185;21/11/2014;737
194;03/07/2014;153
194;03/07/2014;220
197;25/12/2014;470
197;16/10/2014;294
197;20/07/2014;39
197;08/11/2014;48
197;03/09/2014;274
197;15/09/2014;137
197;28/11/2014;411
197;04/08/2014;137
197;25/10/2014;509
197;26/12/2014;333
198;31/07/2014;374
198;29/07/2014;241
198;02/12/2014;267
198;28/11/2014;160
198;09/12/2014;187
198;29/07/2014;481
198;15/10/2014;321
198;03/07/2014;374
198;10/01/2015;133
202;15/08/2014;70
202;11/07/2014;117
202;15/07/2014;352
202;31/07/2014;38
202;15/08/2014;681
205;04/08/2014;201
205;09/07/2014;31
205;19/07/2014;302
205;31/07/2014;112
205;08/07/2014;67
205;06/08/2014;279
205;31/07/2014;313
205;01/07/2014;33
205;21/07/2014;134
205;08/08/2014;201
205;20/07/2014;167
205;13/08/2014;201
206;02/08/2014;405
206;07/09/2014;80
206;23/08/2014;296
206;28/08/2014;728
206;10/09/2014;459
206;23/09/2014;432
206;05/09/2014;539
206;29/09/2014;513
208;04/07/2014;162
209;06/09/2014;473
209;14/08/2014;573
209;24/08/2014;274
209;23/09/2014;348
209;18/07/2014;548
209;08/09/2014;274
209;09/11/2014;573
211;14/10/2014;1447
211;08/01/2015;7236
212;01/07/2014;661
212;06/07/2014;275
214;13/08/2014;314
214;01/08/2014;544
214;01/08/2014;800
214;22/07/2014;285
214;03/07/2014;32
214;28/09/2014;200
215;06/07/2014;250
215;06/07/2014;73
215;07/07/2014;29
216;08/07/2014;81
217;07/10/2014;636
217;11/10/2014;45
217;20/11/2014;636
221;04/07/2014;365
221;15/07/2014;167
221;09/07/2014;289
221;06/07/2014;136
221;04/07/2014;167
221;04/07/2014;198
221;05/07/2014;410
221;15/07/2014;350
221;06/07/2014;380
221;15/07/2014;49
222;22/08/2014;1081
222;13/07/2014;946
222;17/07/2014;180
222;06/08/2014;1081
222;07/07/2014;721
222;04/07/2014;135
222;19/07/2014;315
222;20/07/2014;45
222;30/07/2014;450
222;15/08/2014;1352
222;04/07/2014;270
222;23/08/2014;946
223;11/08/2014;441
223;29/08/2014;45
223;20/08/2014;77
223;13/09/2014;104
223;09/10/2014;42
224;15/07/2014;465
224;16/07/2014;297
226;16/07/2014;342
227;14/07/2014;224
227;14/07/2014;77
227;04/07/2014;77
227;01/07/2014;258
227;17/07/2014;249
227;17/07/2014;172
228;06/07/2014;200
228;30/08/2014;435
